,country_name,pass_to_India,pass_from_India,freight_to_India,freight_from_India
0,AFGHANISTAN,152416,145989,891.0999999999999,4258.299999999999
1,AUSTRALIA,72238,79144,692.3,1505.0
2,AUSTRIA,28164,27000,993.0,570.4000000000001
3,AZERBAIJAN,8414,8600,0.0,0.0
4,BAHRAIN,537957,534302,998.1,9672.0
5,BANGLADESH,477465,503242,2900.7999999999997,3607.7
6,BELGIUM,39258,39103,1671.3,2595.4
7,BHUTAN,53241,53081,3.6,87.2
8,BURMA,30378,30138,3.1,186.5
9,CANADA,167779,176956,1619.2,2924.8
10,CHINA,323402,326627,22911.8,8895.400000000001
11,DENMARK,11814,8420,139.1,414.7
12,EGYPT,19554,22074,130.6,499.0
13,ETHIOPIA,142162,156396,1999.0,9524.0
14,FINLAND,48619,49557,1799.0,2738.1
15,FRANCE,410149,411269,20606.1,19169.7
16,GEORGIA,377158,337874,26397.9,32658.7
17,GERMANY,665642,770699,57627.3,65665.79999999999
18,HONG KONG,706158,733870,112462.69999999998,56916.100000000006
19,INDONESIA,27760,29865,14.8,342.7
20,IRAN,34097,33530,155.20000000000002,1160.6
21,IRAQ,20358,20177,0.0,0.0
22,ISRAEL,22872,23533,878.7,1088.4
23,ITALY,73271,69985,2442.6,1969.1999999999998
24,JAPAN,180048,196786,13686.699999999999,9024.0
25,JORDAN,19442,17690,15.0,341.6
26,KAZAKHSTAN,51716,53984,22.9,638.2
27,KENYA,87668,92030,130.6,546.6999999999999
28,KOREA,133773,135749,5297.6,3721.8
29,KUWAIT,564386,570266,6737.400000000001,25120.100000000002
30,KYRGYZSTAN,16379,18018,13.600000000000001,244.5
31,MALAYSIA,1284019,1302608,17503.116,20258.938
32,MALDIVES,129289,137248,13.5,2264.8
33,MAURITIUS,101957,102160,409.5,3513.7
34,NEPAL,504892,502186,636.9,1852.7
35,NETHERLANDS,299548,304407,16834.300000000003,17996.8
36,OMAN,1682367,1652017,2816.1,22090.9
37,PAKISTAN,4033,7229,8.2,82.3
38,QATAR,1549022,1540798,66310.9,120374.09999999999
39,REUNION,5461,5758,3.4,51.0
40,RUSSIA,200618,207252,486.40000000000003,6835.7
41,RWANDA,13507,13890,0.0,0.0
42,SAUDI ARABIA,1648351,1601313,9836.8,57679.4
43,SEYCHELLES,31726,32689,8.2,293.2
44,SINGAPORE,2002959,2065593,57715.600000000006,66655.59999999999
45,SOUTH AFRICA,0,0,0.0,0.0
46,SPAIN,27794,25941,197.10000000000002,1161.3999999999999
47,SRI LANKA,1146144,1161480,13279.499999999998,22566.4
48,SWEDEN,15353,18159,304.0,200.1
49,SWITZERLAND,134761,151390,9846.5,12538.599999999999
50,TAIWAN,26715,28695,3439.9,1179.4
51,TAJIKISTAN,5535,5836,6.0,166.0
52,THAILAND,1666935,1672605,44302.1,31191.9
53,TURKEY,238628,250674,12250.599999999999,16344.8
54,TURKMENISTAN,45362,45383,6.9,322.5
55,UNITED ARAB EMIRATES,9415391,9611021,92447.5,275524.39999999997
56,UNITED KINGDOM,1323750,1323204,57104.5,82945.09999999999
57,UNITED STATES,537454,581397,7575.799999999999,11843.3
58,UZBEKISTAN,52489,52780,3755.2,5400.599999999999
59,VIETNAM,0,0,0.0,0.0
60,YEMEN,7444,7477,0.0,36.3
